epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,59290.8,0.38138,0.02187,0.04276,0.13394,0.00079,-4.56868,0.99894,0.99752,0.995,0.96392,0.99894,0.99752,0.995,0.995,0.29749,0.00722,0.02067,0.09447,0.00099,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,59566.5,0.3772,0.01986,0.04187,0.13156,0.00078,-4.61465,0.99776,0.99719,0.995,0.96315,0.99776,0.99719,0.995,0.995,0.29778,0.00722,0.0202,0.09613,0.00099,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,59872,0.34081,0.00996,0.0216,0.10971,0.00085,-4.26414,0.9984,0.99862,0.995,0.96305,0.9984,0.99862,0.995,0.995,0.29774,0.00726,0.0195,0.09464,0.00099,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,60148,0.33979,0.00995,0.0195,0.10871,0.00084,-4.31204,0.99802,0.9977,0.995,0.96302,0.99802,0.9977,0.995,0.995,0.29727,0.00729,0.01851,0.09376,0.00099,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,60422,0.33674,0.00965,0.02045,0.10922,0.00084,-4.31132,0.99872,0.99689,0.995,0.96391,0.99872,0.99689,0.995,0.995,0.29735,0.00725,0.01813,0.09431,0.00099,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,60700.2,0.33577,0.00974,0.01998,0.11249,0.00085,-4.29987,0.99829,0.99657,0.995,0.96403,0.99829,0.99657,0.995,0.995,0.29666,0.00722,0.01795,0.09473,0.00099,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,60974.4,0.34004,0.00994,0.02078,0.11592,0.00086,-4.31526,0.99697,0.99657,0.995,0.96383,0.99697,0.99657,0.995,0.995,0.29653,0.00721,0.01787,0.096,0.00099,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,61248.9,0.33517,0.00955,0.01904,0.11153,0.00084,-4.34836,0.99757,0.99597,0.995,0.96391,0.99757,0.99597,0.995,0.995,0.29609,0.00719,0.01739,0.09582,0.00099,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,61526.7,0.32943,0.00904,0.01866,0.10583,0.00083,-4.39527,0.99643,0.99728,0.99499,0.96417,0.99643,0.99728,0.99499,0.99499,0.29581,0.00715,0.017,0.09612,0.00099,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,61800.2,0.33067,0.00948,0.01845,0.10424,0.00082,-4.42666,0.99765,0.99698,0.995,0.96426,0.99765,0.99698,0.995,0.995,0.29517,0.00712,0.01659,0.09476,0.00098,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,62072.5,0.32602,0.00899,0.0181,0.10422,0.00081,-4.47121,0.99832,0.99642,0.995,0.96434,0.99832,0.99642,0.995,0.995,0.29532,0.00711,0.01626,0.09479,0.00099,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,62344.8,0.32555,0.0088,0.01826,0.10244,0.0008,-4.5142,0.99751,0.99828,0.995,0.96493,0.99751,0.99828,0.995,0.995,0.29413,0.00708,0.01606,0.09353,0.00098,0,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
